Time [JD],Time [UTC],Tag,Mass [kg],posx [JPL],posy [JPL],posz [JPL],velx [JPL],vely [JPL],velz [JPL],SOI [approximation]
2443388.5,1977-09-02,7,1.0199999999999999e+26,-1125961702.2181265,-4072154237.710728,-1638742170.9930663,451875.5068961042,-101478.28744138259,-52782.017188915575,86442140.63875718
2443389.5,1977-09-03,7,1.0199999999999999e+26,-1125509820.711644,-4072255694.2951207,-1638794944.2764406,451887.5052693219,-101434.88115478681,-52764.54946207447,86442140.63875718
2443390.5,1977-09-04,7,1.0199999999999999e+26,-1125057927.2091875,-4072357107.4726586,-1638847700.0917957,451899.4988440276,-101391.47373189239,-52747.08115078359,86442140.63875718
2443391.5,1977-09-05,7,1.0199999999999999e+26,-1124606021.7155554,-4072458477.242206,-1638900438.4385474,451911.4876200776,-101348.0651731606,-52729.61225522801,86442140.63875718
2443392.5,1977-09-06,7,1.0199999999999999e+26,-1124154104.2355468,-4072559803.602627,-1638953159.3161113,451923.4715973286,-101304.65547905288,-52712.14277559279,86442140.63875718
2443393.5,1977-09-07,7,1.0199999999999999e+26,-1123702174.7739606,-4072661086.552786,-1639005862.723904,451935.4507756373,-101261.24465003052,-52694.67271206303,86442140.63875718
2443394.5,1977-09-08,7,1.0199999999999999e+26,-1123250233.3355954,-4072762326.0915484,-1639058548.661341,451947.4251548601,-101217.83268655487,-52677.2020648238,86442140.63875718
2443395.5,1977-09-09,7,1.0199999999999999e+26,-1122798279.9252505,-4072863522.217781,-1639111217.127839,451959.39473485365,-101174.41958908725,-52659.73083406021,86442140.63875718
2443396.5,1977-09-10,7,1.0199999999999999e+26,-1122346314.5477254,-4072964674.930349,-1639163868.1228147,451971.3595154748,-101131.00535808905,-52642.25901995731,86442140.63875718
2443397.5,1977-09-11,7,1.0199999999999999e+26,-1121894337.2078195,-4073065784.2281194,-1639216501.6456845,451983.3194965801,-101087.5899940216,-52624.78662270022,86442140.63875718
2443398.5,1977-09-12,7,1.0199999999999999e+26,-1121442347.9103322,-4073166850.1099596,-1639269117.6958656,451995.27467802627,-101044.17349734629,-52607.31364247401,86442140.63875718
2443399.5,1977-09-13,7,1.0199999999999999e+26,-1120990346.6600633,-4073267872.5747366,-1639321716.2727752,452007.2250596702,-101000.75586852443,-52589.84007946376,86442140.63875718
2443400.5,1977-09-14,7,1.0199999999999999e+26,-1120538333.4618127,-4073368851.6213193,-1639374297.3758304,452019.1706413686,-100957.33710801735,-52572.36593385457,86442140.63875718
2443401.5,1977-09-15,7,1.0199999999999999e+26,-1120086308.3203807,-4073469787.2485757,-1639426861.004449,452031.1114229783,-100913.91721628651,-52554.89120583155,86442140.63875718
2443402.5,1977-09-16,7,1.0199999999999999e+26,-1119634271.240567,-4073570679.4553747,-1639479407.158048,452043.0474043561,-100870.49619379318,-52537.41589557976,86442140.63875718
2443403.5,1977-09-17,7,1.0199999999999999e+26,-1119182222.2271721,-4073671528.2405863,-1639531935.836046,452054.97858535906,-100827.07404099873,-52519.940003284304,86442140.63875718
2443404.5,1977-09-18,7,1.0199999999999999e+26,-1118730161.2849963,-4073772333.6030803,-1639584447.0378606,452066.9049658438,-100783.6507583646,-52502.463529130284,86442140.63875718
2443405.5,1977-09-19,7,1.0199999999999999e+26,-1118278088.4188406,-4073873095.5417266,-1639636940.7629104,452078.8265456674,-100740.2263463521,-52484.98647330278,86442140.63875718
2443406.5,1977-09-20,7,1.0199999999999999e+26,-1117826003.6335053,-4073973814.0553966,-1639689417.0106134,452090.7433246871,-100696.80080542256,-52467.508835986904,86442140.63875718
2443407.5,1977-09-21,7,1.0199999999999999e+26,-1117373906.9337914,-4074074489.1429615,-1639741875.7803886,452102.6553027595,-100653.37413603747,-52450.03061736774,86442140.63875718
2443408.5,1977-09-22,7,1.0199999999999999e+26,-1116921798.3245,-4074175120.8032928,-1639794317.0716546,452114.56247974175,-100609.9463386581,-52432.55181763041,86442140.63875718
2443409.5,1977-09-23,7,1.0199999999999999e+26,-1116469677.8104324,-4074275709.035263,-1639846740.88383,452126.46485549037,-100566.51741374523,-52415.07243695962,86442140.63875718
2443410.5,1977-09-24,7,1.0199999999999999e+26,-1116017545.3963895,-4074376253.8377447,-1639899147.2163348,452138.3624298631,-100523.08736176134,-52397.592475541016,86442140.63875718
2443411.5,1977-09-25,7,1.0199999999999999e+26,-1115565401.0871732,-4074476755.209611,-1639951536.0685878,452150.2552027167,-100479.65618316767,-52380.11193355963,86442140.63875718
2443412.5,1977-09-26,7,1.0199999999999999e+26,-1115113244.8875847,-4074577213.1497355,-1640003907.4400084,452162.1431739086,-100436.22387842543,-52362.63081120045,86442140.63875718
2443413.5,1977-09-27,7,1.0199999999999999e+26,-1114661076.8024259,-4074677627.6569924,-1640056261.3300166,452174.02634329547,-100392.79044799584,-52345.1491086485,86442140.63875718
2443414.5,1977-09-28,7,1.0199999999999999e+26,-1114208896.8364987,-4074777998.7302566,-1640108597.7380323,452185.9047107346,-100349.3558923401,-52327.66682608879,86442140.63875718
2443415.5,1977-09-29,7,1.0199999999999999e+26,-1113756704.994605,-4074878326.368402,-1640160916.6634755,452197.7782760832,-100305.9202119194,-52310.18396370635,86442140.63875718
2443416.5,1977-09-30,7,1.0199999999999999e+26,-1113304501.2815473,-4074978610.5703053,-1640213218.1057665,452209.6470391983,-100262.4834071949,-52292.700521686194,86442140.63875718
2443417.5,1977-10-01,7,1.0199999999999999e+26,-1112852285.7021275,-4075078851.334842,-1640265502.0643258,452221.5109999374,-100219.04547862784,-52275.216500213326,86442140.63875718
2443418.5,1977-10-02,7,1.0199999999999999e+26,-1112400058.2611482,-4075179048.660888,-1640317768.538574,452233.3701581576,-100175.60642667934,-52257.731899472754,86442140.63875718
2443419.5,1977-10-03,7,1.0199999999999999e+26,-1111947818.963412,-4075279202.547321,-1640370017.5279317,452245.2245137166,-100132.16625181054,-52240.24671964949,86442140.63875718
