Time [JD],Time [UTC],Tag,Mass [kg],posx [code],posy [code],posz [code],velx [code],vely [code],velz [code],accx [code],accy [code],accz [code]
2443388.5,1977-09-02,10,721.9,143325161.9401635,-45007083.15744913,-19525183.80717312,1084811.8776859273,2895531.100911356,1255494.343355331,-41198.29133040167,12797.55634123379,5548.931971272602
2443389.5,1977-09-03,10,721.9,144389326.37626374,-42105293.509638205,-18266975.799180977,1043469.9012605132,2907907.7199994233,1260860.759746124,-41480.26889201933,11954.394612464877,5183.329011401095
2443390.5,1977-09-04,10,721.9,145412014.0584202,-39191550.41221448,-17003584.865087684,1001864.5930061515,2919436.4763958026,1265859.5348781135,-41724.89453718907,11102.107352350013,4813.769306979356
2443391.5,1977-09-05,10,721.9,146392980.40163437,-36266705.990191035,-15735380.494251577,960033.5123054563,2930109.1464796895,1270487.1030791446,-41931.77509144601,10242.501331583382,4441.0362901127455
2443392.5,1977-09-06,10,721.9,147332018.5534753,-33331619.685533077,-14462735.348563502,918014.5414907454,2939919.3228471503,1274740.6862048304,-42100.65794334294,9377.400525365776,4065.9208523320785
2443393.5,1977-09-07,10,721.9,148228959.6466325,-30387156.434127077,-13186024.47196473,875845.7449798151,2948862.4261525306,1278618.298772508,-42231.43145977258,8508.635390818852,3689.2166951937024
2443394.5,1977-09-08,10,721.9,149083672.91059348,-27434184.836264413,-11905624.497153286,833565.2285854664,2956935.706247993,1282118.7484547754,-42324.124226116044,7638.032205188939,3311.715707243482
2443395.5,1977-09-09,10,721.9,149896065.64320388,-24473575.33129088,-10621912.854097206,791211.0001629863,2964138.232742278,1285241.6319851293,-42378.90313585603,6767.4025848343645,2934.203419374749
2443396.5,1977-09-10,10,721.9,150666083.0440173,-21506198.386892986,-9335266.98489498,748820.832726825,2970470.875217574,1287987.3265792837,-42396.07037079337,5898.533300195926,2557.4545885314137
2443397.5,1977-09-11,10,721.9,151393707.91244978,-18532922.71319659,-8046063.569395361,706432.1311187712,2975936.2734553004,1290356.9770242886,-42376.05932838593,5033.17649511614,2182.2289567440444
2443398.5,1977-09-12,10,721.9,152078960.21480578,-15554613.511449713,-6754677.765813709,664081.8032463106,2980538.798125782,1292352.4786327379,-42319.429566667626,4173.04041021071,1809.2672287306323
2443399.5,1977-09-13,10,721.9,152721896.52522343,-12572130.76655831,-5461482.470363827,621806.1368331342,2984284.502491506,1293976.4563004125,-42226.860849429955,3319.780699759311,1439.2873068551
2443400.5,1977-09-14,10,721.9,153322609.34648612,-9586327.592151176,-4166847.5996673293,579640.6825357681,2987181.0657574194,1295232.2399420424,-42099.14638464239,2474.992420059829,1072.980817240139
2443401.5,1977-09-15,10,721.9,153881226.31745347,-6598048.63617976,-2871139.3994119056,537620.144183041,2989237.728773513,1296123.8366109834,-41937.18535729948,1640.2027546918462,711.009955411562
2443402.5,1977-09-16,10,721.9,154397909.31456926,-3608128.554322919,-1574719.782410775,495778.27679072367,2990465.222853816,1296655.8996341468,-41741.974863920164,816.8645289840449,354.0046741489785
